Rk,Player,Pos,Age,Tm,G,GS,MP,TRB,AST,STL,BLK,TOV,PTS
278,Furkan Korkmaz,SG,22,PHI,72,12,21.7,2.3,1.1,0.6,0.2,0.8,9.8
279,Luke Kornet,C,24,CHI,36,14,15.5,2.3,0.9,0.3,0.7,0.4,6
280,Kyle Korver,SF,38,MIL,58,1,16.6,2.1,1.2,0.4,0.2,0.8,6.7
281,Rodions Kurucs,PF,21,BRK,47,9,14.6,2.9,1.1,0.5,0.1,1,4.6
282,Kyle Kuzma,PF,24,LAL,61,9,25,4.5,1.3,0.5,0.4,1.5,12.8
283,Skal Labissière,C,23,POR,33,1,17.2,5.1,1.3,0.2,0.9,0.9,5.8
284,Jeremy Lamb,SG,27,IND,46,42,28.1,4.3,2.1,1.2,0.5,1.1,12.5
285,Romeo Langford,SG,20,BOS,32,2,11.6,1.3,0.4,0.3,0.3,0.3,2.5
286,Zach LaVine,SG,24,CHI,60,60,34.8,4.8,4.2,1.5,0.5,3.4,25.5
287,Vic Law,PF,24,ORL,8,0,7.8,1.4,0.4,0.3,0,0.3,1.9
288,Jake Layman,SF,25,MIN,23,2,22,2.5,0.7,0.7,0.4,1,9.1
289,T.J. Leaf,PF,22,IND,28,1,7.9,2.5,0.3,0.4,0.1,0.3,3
290,Jalen Lecque,SG,19,PHO,5,0,6.4,0.4,0.4,0,0,0.4,2
291,Courtney Lee,SG,34,DAL,24,9,14.4,1.3,0.5,0.8,0.3,0.5,4.5
292,Damion Lee,SG,27,GSW,49,36,29,4.9,2.7,1,0.1,1.4,12.7
293,Alex Len,C,26,TOT,55,12,17.6,5.8,0.9,0.4,0.9,1,8
293,Alex Len,C,26,ATL,40,9,18.6,5.8,1.1,0.5,0.8,1,8.7
293,Alex Len,C,26,SAC,15,3,15,6.1,0.5,0.2,1,1.1,5.9
294,Kawhi Leonard,SF,28,LAC,57,57,32.4,7.1,4.9,1.8,0.6,2.6,27.1
295,Meyers Leonard,C,27,MIA,51,49,20.3,5.1,1.1,0.3,0.3,0.8,6.1
296,Caris LeVert,SG,25,BRK,45,31,29.6,4.2,4.4,1.2,0.2,2.6,18.7
297,Damian Lillard,PG,29,POR,66,66,37.5,4.3,8,1.1,0.3,2.9,30
298,Nassir Little,PF,19,POR,48,5,11.9,2.3,0.5,0.3,0.3,0.3,3.6
299,Kevon Looney,C,23,GSW,20,4,13.1,3.3,1,0.6,0.3,0.6,3.4
300,Brook Lopez,C,31,MIL,68,67,26.7,4.6,1.5,0.7,2.4,1,12
301,Robin Lopez,C,31,MIL,66,5,14.5,2.4,0.7,0.2,0.7,1,5.4
302,Kevin Love,PF,31,CLE,56,56,31.8,9.8,3.2,0.6,0.3,2.5,17.6
303,Kyle Lowry,PG,33,TOR,58,58,36.2,5,7.5,1.4,0.4,3.1,19.4
304,Timothé Luwawu-Cabarrot,SF,24,BRK,47,2,18.1,2.7,0.6,0.4,0.1,0.8,7.8
305,Trey Lyles,PF,24,SAS,63,53,20.2,5.7,1.1,0.4,0.4,0.6,6.4
306,Daryl Macon,PG,24,MIA,4,0,3.5,0,0.3,0,0,0.5,0.8
307,J.P. Macura,SG,24,CLE,1,0,1,0,0,0,0,0,0
308,Josh Magette,PG,30,ORL,8,0,4.8,0.8,0.6,0.4,0.1,0.6,1.5
309,Ian Mahinmi,C,33,WAS,38,35,21.3,5.7,1.3,0.8,1.2,1.2,7.4
310,Thon Maker,C,22,DET,60,14,12.9,2.8,0.7,0.4,0.7,0.8,4.7
311,Terance Mann,SF,23,LAC,41,6,8.8,1.3,1.3,0.3,0.1,0.4,2.4
312,Boban Marjanović,C,31,DAL,44,5,9.6,4.5,0.5,0.2,0.2,0.7,6.6
313,Lauri Markkanen,PF,22,CHI,50,50,29.8,6.3,1.5,0.8,0.5,1.6,14.7
314,Caleb Martin,SF,24,CHO,18,1,17.6,2.1,1.3,0.7,0.4,0.8,6.2
315,Cody Martin,SF,24,CHO,48,3,18.8,3.3,2,0.8,0.2,0.9,5
316,Jeremiah Martin,PG,23,BRK,9,0,11,1.1,2,0.8,0.2,0.4,7.1
317,Kelan Martin,SF,24,MIN,31,4,16,3.1,0.7,0.2,0.3,0.6,6.4
318,Frank Mason III,PG,25,MIL,9,0,13.1,2.1,3.2,0.6,0.1,1.2,6.9
319,Garrison Mathews,SG,23,WAS,18,0,12.6,1.3,0.6,0.4,0.1,0.4,5.4
320,Wesley Matthews,SG,33,MIL,67,67,24.4,2.5,1.4,0.6,0.1,0.6,7.4
321,Luc Mbah a Moute,PF,33,HOU,3,0,8.3,0.7,0,0.7,0,0.3,1.7
322,Patrick McCaw,SF,24,TOR,37,12,24.5,2.3,2.1,1.1,0.1,0.8,4.6
323,CJ McCollum,SG,28,POR,70,70,36.5,4.2,4.4,0.8,0.6,1.8,22.2
324,T.J. McConnell,PG,27,IND,71,3,18.7,2.7,5,0.8,0.2,1.4,6.5
325,Jalen McDaniels,SF,22,CHO,16,0,18.3,4.1,0.8,0.5,0.2,0.7,5.6
326,Doug McDermott,PF,28,IND,69,0,19.9,2.5,1.1,0.2,0.1,0.6,10.3
327,JaVale McGee,C,32,LAL,68,68,16.6,5.7,0.5,0.5,1.4,0.8,6.6
328,Rodney McGruder,SG,28,LAC,56,4,15.6,2.7,0.6,0.5,0.1,0.4,3.3
329,Alfonzo McKinnie,SF,27,CLE,40,1,14.8,2.8,0.4,0.6,0.2,0.7,4.6
330,Jordan McLaughlin,PG,23,MIN,30,2,19.7,1.6,4.2,1.1,0.1,1,7.6
331,Ben McLemore,SF,26,HOU,71,23,22.8,2.2,0.8,0.6,0.2,0.7,10.1
332,Jordan McRae,SG,28,TOT,37,4,21.2,3.4,2.5,0.6,0.4,1.2,11.5
332,Jordan McRae,SG,28,WAS,29,4,22.6,3.6,2.8,0.7,0.5,1.3,12.8
332,Jordan McRae,SG,28,DEN,4,0,8,1.3,1,0.5,0.3,0,2.3
332,Jordan McRae,SG,28,DET,4,0,24.5,3.8,1.8,0,0,1.3,11.8
333,Nicolò Melli,C,29,NOP,60,8,17.4,3,1.4,0.6,0.4,0.8,6.6
334,De'Anthony Melton,PG,21,MEM,60,8,19.5,3.7,2.9,1.3,0.3,1.4,7.6
335,Chimezie Metu,C,22,SAS,18,0,5.8,1.8,0.6,0.2,0.3,0.6,3.2
336,Khris Middleton,SF,28,MIL,62,59,29.9,6.2,4.3,0.9,0.1,2.2,20.9
337,Eric Mika,C,25,SAC,1,0,19,7,0,0,0,0,6
338,C.J. Miles,SF,32,WAS,10,0,16.1,1.2,1.2,1,0.4,0.4,6.4
339,Malcolm Miller,SF,26,TOR,28,1,5.8,0.6,0.4,0.2,0.1,0.1,1.3
340,Patty Mills,PG,31,SAS,66,1,22.5,1.6,1.8,0.8,0.1,0.8,11.6
341,Paul Millsap,PF,34,DEN,51,48,24.3,5.7,1.6,0.9,0.6,1.4,11.6
342,Shake Milton,SG,23,PHI,40,24,20.1,2.2,2.6,0.5,0.2,1.2,9.4
343,Donovan Mitchell,SG,23,UTA,69,69,34.3,4.4,4.3,1,0.2,2.7,24
344,Naz Mitrou-Long,SG,26,IND,5,0,9.4,1.4,1.6,0.2,0.2,0.6,2.8
345,Adam Mokoka,SF,21,CHI,11,0,10.2,0.9,0.4,0.4,0,0.2,2.9
346,Malik Monk,SG,21,CHO,55,1,21.3,2.9,2.1,0.5,0.3,1.4,10.3
347,Matt Mooney,SG,22,CLE,4,0,4.8,0.8,0.3,0.5,0.3,0,0.5
348,E'Twaun Moore,SG,30,NOP,56,6,18.2,2.3,1.4,0.6,0.2,0.7,8.3
349,Ja Morant,PG,20,MEM,67,67,31,3.9,7.3,0.9,0.3,3.3,17.8
350,Juwan Morgan,PF,22,UTA,21,0,6.4,1.4,0.3,0,0.1,0.3,1.7
351,Marcus Morris,SF-PF,30,TOT,62,62,31.2,5,1.4,0.8,0.5,1.6,16.7
351,Marcus Morris,SF,30,NYK,43,43,32.3,5.4,1.4,0.8,0.4,1.7,19.6
351,Marcus Morris,PF,30,LAC,19,19,28.9,4.1,1.4,0.7,0.7,1.3,10.1
352,Markieff Morris,PF,30,TOT,58,17,20.5,3.8,1.3,0.5,0.3,1.3,9.7
352,Markieff Morris,PF,30,DET,44,16,22.5,3.9,1.6,0.6,0.3,1.6,11
352,Markieff Morris,PF,30,LAL,14,1,14.2,3.2,0.6,0.4,0.4,0.4,5.3
